ja,en
"""Project Athena""、""Athena""、""Athena MUSE""、""Discuss""、""Hesiod""、""Kerberos""、""Moira""、""Zephyr""は、 Massachusetts Institute of Technology (MIT)のトレードマークである。","""Project Athena,"" ""Athena,"" ""Athena MUSE,"" ""Discuss,"" ""Hesiod,"" ""Kerberos,"" ""Moira,"" and ""Zephyr"" are the Massachusetts Institute of Technology's (MIT) It is a trademark."
"""Proxool""という名称を使う場合。
Proxool Projectの許可を取る。","If you want to use the name ""Proxool"", get permission from the Proxool Project."
"""Proxool""という名称を使う場合。
bill@logicalcobwebs.co.ukに連絡する。","""When using the name ""Proxool"". bill@logicalcobwebs.co.ukに連絡する."
"""QLogic Corporation""の名称を使う場合。","""When using the name ""QLogic Corporation""."
"""QuickFIX""および""quickfixengine.org""という名称を使う場合。
ask@quickfixengine.orgに連絡する。","""QuickFIX"" and ""quickfixengine.org"" if you use the names ""QuickFIX"" and ""quickfixengine.org"". ask@quickfixengine.orgに連絡する."
"""QuickFIX""という名称を使う場合。quickfixengine.orgの許可を得る。 
","If you use the name ""QuickFIX"". get permission from quickfixengine.org."
"""RELAXNGCC""という名称を使う場合。
著作権者の許可を取る。","When using the name ""RELAXNGCC"". Get permission from the copyright holder."
"""Richard P. Basch""、""Lehman Brothers""、""M.I.T. ""の名称を使う場合。","""Richard P. Basch,"" ""Lehman Brothers,"" and ""M.I.T."" when using the name."
"""SAXPath""という名称を使う場合。
SAXPath Project Management (pm@saxpath.org)の許可を取る。","""If you use the name ""SAXPath"". get permission from SAXPath Project Management (pm@saxpath.org)."
"""SAXPath""という名称を使う場合。 license@saxpath.orgに連絡する。","""When using the name SAXPath. license@saxpath.orgに連絡する."
"""SOAP""および""Apache Software Foundation""という名称を使う場合。apache@apache.orgに連絡する。","""SOAP"" and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""Silicon Graphics""の名称を使う場合。","""When using the name ""Silicon Graphics""."
"""Silicon Graphics, Inc.""の名前を使う場合。","""When using the name ""Silicon Graphics, Inc."
"""Stichting Mathematisch Centrum""、""CWI""、""Corporation for National Research Initiatives""、""CNRI""の名称を使う場合。","""Stichting Mathematisch Centrum"", ""CWI"", ""Corporation for National Research Initiatives"", and ""CNRI"" when using the names ""Stichting Mathematisch Centrum"", ""CWI"", ""Corporation for National Research Initiatives"", and ""CNRI""."
"""Stichting Mathematisch Centrum""、""CWI""の名称を使う場合。","""Stichting Mathematisch Centrum"", when using the name ""CWI""."
"""Sun""、""Sun Microsystems, Inc.""、""JXTA""および""Project JXTA""という名称を使う場合。Project JXTA[http://jxta.kenai.com、または、http://jxse.kenai.com]に連絡する。","""Sun"", ""Sun Microsystems, Inc."", ""JXTA"" and ""Project JXTA"" to use the names ""Sun"", ""Sun Microsystems, Inc."", ""JXTA"" and ""Project JXTA"". contact Project JXTA [http://jxta.kenai.com or http://jxse.kenai.com]."
"""SyntEvo GmbH""という名称やコントリビュータの名前を使う場合。","""SyntEvo GmbH"" or the name of the contributor if you use the name ""SyntEvo GmbH"" or the name of the contributor."
"""Tavmjong Bah""という名称を使う場合。 
Tavmjong Bahの許可を取る。","""When using the name ""Tavmjong Bah"". Get permission from Tavmjong Bah."
"""TekHVC""の名称は常に、TekHVC色空間の数学的導出の関連についてのみ用いる","""The name ""TekHVC"" is always used only in relation to the mathematical derivation of the TekHVC color space."
"""Text::Tabs""の名前で頒布する場合。","For distribution under the name ""Text::Tabs""."
"""The Jakarta Project""、""Commons""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""The Jakarta Project"", ""Commons"", and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""The Jakarta Project""、""Jakarta-Regexp""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""The Jakarta Project"", ""Jakarta-Regexp"" and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""The Jakarta Project""、""Jk""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""The Jakarta Project"", ""Jk"", and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""The Jakarta Project""、""Struts""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""The Jakarta Project"", ""Struts"", and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""The Jakarta Project""、""Tomcat""、""Apache Software Foundation""という名称を使う場合。
apache@apache.orgに連絡する。","""The Jakarta Project"", ""Tomcat"", and ""Apache Software Foundation"". apache@apache.orgに連絡する."
"""The XFree86 Project, Inc""という名称を使う場合。
The XFree86 Project, Incの許可を取る。","If you wish to use the name ""The XFree86 Project, Inc."", obtain permission from The XFree86 Project, Inc."
"""The freebXML Registry Project""、""freebxml Software Foundation"" 
という名称を使う場合。
ebxmlrr-team@lists.sourceforge.netに連絡する。","""The freebXML Registry Project"", to use the name ""freebxml Software Foundation"". ebxmlrr-team@lists.sourceforge.netに連絡する."
"""Tigris""という名称を使う場合。
CollabNetの許可を取る。","If you use the name ""Tigris"". get permission from CollabNet."
"""Unicode Character Database""として知られる一連のデータファイルの使用に関する権利や制限の追加規定は、Exhibit 1に書かれている。","""Additional provisions of rights and restrictions on the use of a set of data files known as the ""Unicode Character Database"" can be found in EXHIBIT 1."
"""University of Delaware""の名称を使う場合。","When using the name ""University of Delaware""."
"""University of Tokyo""という名称を使う場合。","When using the name ""University of Tokyo""."
"""VOCAL""、""Vovida Open Communication Application Library""、""Vovida Open Communication Application Library (VOCAL)""という名称を使う場合。
vocal@vovida.orgに連絡する。","""VOCAL"", ""Vovida Open Communication Application Library"", and ""Vovida Open Communication Application Library (VOCAL)"". vocal@vovida.orgに Contact."
"""VOCAL""という名称を使う場合。
Vovida Networks, Inc.の許可を取る。","If you use the name ""VOCAL"". get permission from Vovida Networks, Inc."
"""W3C Software Short Notice""のリンク先は
http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231.html

""previous version""のリンク先は
http://www.w3.org/Consortium/Legal/copyright-software-19980720

""Free Software Foundation's assessment of GPL compatibility""のリンク先は
http://www.gnu.org/philosophy/license-list.html#GPLCompatibleLicenses

""OSI's certification""のリンク先は
http://www.opensource.org/licenses/W3C.php

""Open Source Definition""のリンク先は
http://www.opensource.org/docs/definition.php","""W3C Software Short Notice"" can be found at http://www.w3.org/Consortium/Legal/2002/copyright-software-20021231.html ""previous version"" can be found at http The link for ""Free Software Foundation's assessment of GPL compatibility"" can be found at http://www. gnu.org/philosophy/license-list.html#GPLCompatibleLicenses ""OSI's certification"" can be found at www.w3.org/Consortium/Legal/copyright-software-19980720. gnu.org/philosophy/license-list.html#GPLCompatibleLicenses ""OSI's certification"" can be found at http://www.opensource.org/licenses/W3C.php."" The link for ""Open Source Definition"" is http://www.opensource.org/docs/definition.php"
"""W3C Software and Document Short Notice""のリンク先は 
http://www.w3.org/Consortium/Legal/copyright-software-short-notice
","""W3C Software and Document Short Notice"" is linked at http://www.w3.org/Consortium/Legal/copyright-software-short-notice"
"""World Wide Web Consortium""のリンク先は
http://www.w3.org/

""Massachusetts Institute of Technology""のリンク先は
http://www.csail.mit.edu/

""European Research Consortium for Informatics and Mathematics""のリンク先は
http://www.ercim.org/

""Keio University""のリンク先は
http://www.keio.ac.jp/

""Beihang""のリンク先は
http://ev.buaa.edu.cn/

""http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231""のリンク先は
http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231

""Copyright FAQ""のリンク先は
http://www.w3.org/Consortium/Legal/IPR-FAQ

""older formulation""のリンク先は
http://www.w3.org/Consortium/Legal/copyright-documents-19990405","""World Wide Web Consortium"" can be found at http://www.w3.org/ ""Massachusetts Institute of Technology"" can be found at http://www.csail.mit.edu/ ""European Research Consortium for Informatics and Mathematics"" can be found at http://www.ercim.org/ ""Keio University"" can be found at http://www.keio.ac.jp/ ""Beihang"" The link to http://ev.buaa.edu.cn/""http://www.w3.org/Consortium/Legal/2002/copyright-documents-20021231"" is http://www.w3.org/ Consortium/Legal/2002/copyright-documents-20021231 ""Copyright FAQ"" linked to http://www.w3.org/Consortium/Legal/IPR-FAQ ""older formulation"" The link to http://www.w3.org/Consortium/Legal/copyright-documents-19990405"
"""World Wide Web Consortium""のリンク先は
http://www.w3.org/

""Massachusetts Institute of Technology""のリンク先は
http://www.lcs.mit.edu/

""Institut National de Recherche en Informatique et en Automatique""のリンク先は
http://www.inria.fr/

""Keio University""のリンク先は
http://www.keio.ac.jp/

""Software Notice""のリンク先は
http://www.w3.org/Consortium/Legal/copyright-software.html

""Copyright FAQ""のリンク先は
http://www.w3.org/Consortium/Legal/IPR-FAQ.html

""older formulation""のリンク先は
http://www.w3.org/Consortium/Legal/copyright-documents-19990218.html","The link to ""World Wide Web Consortium"" is http://www.w3.org/ and the link to ""Massachusetts Institute of Technology"" is http://www.lcs.mit.edu/ and the link to ""Institut National The link for ""de Recherche en Informatique et en Automatique"" can be found at http://www.inria.fr/ and the link for ""Keio University"" can be found at http://www.keio.ac.jp/ and the link for ""Software Notice"" can be found at The link to http://www.w3.org/Consortium/Legal/copyright-software.html ""Copyright FAQ"" can be found at http://www.w3.org/Consortium/Legal/IPR-FAQ.html ""OLDER FORMULA"" is linked to: http://www.w3.org/Consortium/Legal/copyright-documents-19990218.html"
